location,sample date,Oxygen saturation,Dissolved silicates,Benzo(k)fluoranthene,Hexachlorobenzene,PAHs,Benzo(b)fluoranthene,beta-Hexaxchlorocyclohexane,Chlorodinine,Methoxychlor,Carbonates,Chemical Oxygen Demand (Mn),Anthracene,Boron,Cyanides,Chromium,Metolachlor,Endosulfan (alpha),Inorganic nitrogen,Pyrene,Heptachloroepoxide,Biochemical Oxygen,Berilium,"p,p-DDE",Sodium,AOX,Total organic carbon,Nitrates,PCB 118,"Benzo(g,h,i)perylene",Acenaphthylene,Total dissolved salts,Orthophosphate-phosphorus,Calcium,Macrozoobenthos,Benzo(a)anthracene,Total extractable matter,Nickel,Alachlor,Pentachlorobenzene,Dieldrin,Methylosmoline,Barium,Chemical Oxygen Demand (Cr),Benzo(a)pyrene,Phenanthrene,PCB 180,Anionic active surfactants,Chrysene,Mercury,gamma-Hexachlorocyclohexane,Manganese,PCB 101,Dissolved organic carbon,Cadmium,Trifluralin,Endrin,Sulfides,Nitrites,Sulphates,Selenium,Simazine,Total phosphorus,Endosulfan (beta),"1,2,4-Trichlorobenzene",Arsenic,Iron,alpha-Hexachlorocyclohexane,Silica (SiO2),Total dissolved phosphorus,Fecal coliforms,PCB 153,Fluorene,PCB 138,Heptachlor,Copper,Tetrachloromethane,PCB 52,Magnesium,Bicarbonates,Total hardness,Zinc,"p,p-DDT",Dissolved oxygen,"Indeno(1,2,3-c,d)pyrene",Fluoranthene,Fecal streptococci ,Ammonium,Aldrin,Isodrin,"p,p-DDD",Chlorides,Acenaphthene,Atrazine,AGOC-3A,PCB 28,Potassium,"1,2,3-Trichlorobenzene",Lead,Cesium,Total nitrogen,Aluminium,Organic nitrogen,Water temperature,Petroleum hydrocarbons,Naphthalene,Total coliforms
Achara,15-Jan-09,,,,,,,,,,,3,,,0.0025,0.5,,,,,,2.3,,,10.9,,,1.377,,,,206,0.1267,47.4,,,,1,,,,,,7,,,,0.034,,,,0.18,,,0.3,,,,0.003,31.1,,,0.13,,,0.5,0.2,,,,,,,,,2.4,,,7.1,134.2,,26,,10.9,,,,0.552,,,,11.9,,,,,,,0.5,,1.99,,0,6.5,0.05,,16090
Achara,13-Feb-09,,8.69,,,,,,,,,3.4,,,0.0025,0.6,,,,,,3,,,5.2,,,0.709,,,,119,0.0133,25.9,,,,2.6,,,,,,13,,,,0.034,,,,0.1,,,0.3,,,,0.03,18.6,,,0.05,,,0.5,0.38,,,,,,,,,8.4,,,4.8,91.5,,18,,11.7,,,,0.086,,,,5.8,,,,,,,1.7,,1.05,,0.225,5.5,0.033,,175
Achara,19-Mar-09,,7.86,0.0075,,,0.0075,,,,,5,0.005,,0.0025,0,,,,0.003,,1.7,,,6.2,,,0.619,,,0.004,236,0.0167,34.6,,0.0035,,0.5,,0.001,,,,5.3,0.0075,0.005,,0.034,0.003,,,0.05,,,0.3,,,,0.015,17.9,,,0.05,,0.001,0.5,0.2,,6.395,,,,,,,14.9,,,7,97.6,,5,,11.9,,0.0045,,0.07,,,,6.9,0.003,,,,,0.001,0.5,,0.9,,0.196,13,0.025,0.01,170
Achara,17-Apr-09,,5.35,,,,,,,,,0,,,0.0025,0.7,,,,,,2,,,8,,,1.08,,,,150,0.0992,38.2,,,,1.5,,,,,,6,,,,0.034,,0.5,,0.04,,,0.3,,,,0.027,23.2,,,0.13,,,1.7,0.12,,,,,,,,,5.3,,,4.5,109.8,,5,,11.3,,,,0.125,,,,8.7,,,,,,,0.5,,1.53,,0.298,16,0.01,,
Achara,17-May-09,141.85,8.36,,,,,,,,,0,,,0.0025,18,,,,,,2.4,,,43.9,,,1.802,,,,199,0.225,74.5,,,,,,,,,,7,,,,0.03,,,,,,,,,,,0.21,40.2,,,0.32,,,,,,,,,,,,,,,,5.4,122,,11,,6.5,,,,0.211,,,,11.4,,,,,,,,,2.85,,0.927,21,0.01,,54
Achara,12-Jun-09,,,,,,,,,,,3.7,,,0.0025,0,,,,,,2.2,,,,,,1.106,,,,201,0.1142,,,,,1,,,,,,7,,,,0.034,,,,0.9,,,0.3,,,,0.033,,,,0.2,,,0.5,0.24,,,,,,,,,2.9,,,,122,,12,,9,,,,0.016,,,,,,,,,,,0.5,,1.26,,0.105,26,0.01,,
Achara,11-Jul-09,,,,,,,,,,,0,,,0.0025,0.6,,,,,,2.4,,,,,,0.255,,,,174,0.127,,,,,1.8,,,,,,8,,,,0.034,,,,0.11,,,0.3,,,,0.046,,,,0.17,,,1.4,0.19,,,,,,,,,9.9,,,,109.8,,20,,7.1,,,,0.039,,,,,,,,,,,1.6,,0.9,,0.58,22,0.018,,
Achara,18-Jul-09,,8.85,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,
Achara,13-Aug-09,,6.51,,,,,,,,,4,,,0.0025,,,,,,,2.3,,,,,,1.975,,,,188,0.153,,,,,,,,,,,8,,,,,,,,,,,,,,,0.055,,,,0.2,,,,,,,,,,,,,,,,,115.9,,38,,6.4,,,,0.093,,,,,,,,,,,,,2.64,,0.517,21,0.03,,
Achara,10-Sep-09,,5.23,,,,,,,,,0,,,0.0025,,,,,,,2.1,,,,,,1.984,,,,176,0.143,,,,,,,,,,,7,,,,,,,,,,,,,,,0.042,,,,0.28,,,,,,,,,,,,,,,,,115.9,,5,,8.7,,,,0.132,,,,,,,,,,,,,2.7,,0.542,17,0.01,,
